City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Ranong,TH,80.04,9.9658,98.6348,Tinidee Hotel@Ranong
3,Mahebourg,MU,79.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
6,Atuona,PF,78.55,-9.8,-139.0333,Villa Enata
8,Butaritari,KI,80.85,3.0707,172.7902,Isles Sunset Lodge
12,Hithadhoo,MV,83.05,-0.6,73.0833,Scoop Guest House
15,Rikitea,PF,78.69,-23.1203,-134.9692,People ThankYou
18,Canutama,BR,82.76,-6.5339,-64.3831,Hotel Jhennifer
32,Kavaratti,IN,83.8,10.5669,72.642,Hotels in Lakshadweep Islands
46,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
52,Calafell,ES,78.08,41.2,1.5683,Hotel Kursaal Calafell Platja
57,Kavieng,PG,81.43,-2.5744,150.7967,Nusa Island Retreat
64,Bosaso,SO,82.38,11.2842,49.1816,Red Sea Hotel
66,Kuala Terengganu,MY,76.95,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
67,Cape Canaveral,US,81.07,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
69,Bengkulu,ID,76.03,-3.8004,102.2655,Grage Hotel Bengkulu
70,Bonthe,SL,81.88,7.5264,-12.505,Bonthe Holiday Village
73,Champerico,GT,82.94,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
75,Arraial Do Cabo,BR,80.56,-22.9661,-42.0278,Pousada Porto Praia
76,Lorengau,PG,81.0,-2.0226,147.2712,Lorengau Harbourside Hotel
80,Roebourne,AU,88.18,-20.7833,117.1333,Latitude20 Roebourne Village
81,Santa Cruz,BO,86.05,-17.8,-63.1667,Aviador Hotel Boutique
89,Alta Gracia,AR,79.56,-31.6529,-64.4283,Hotel Ritz
99,Puri,IN,81.12,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
101,Grand Gaube,MU,79.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
103,Warri,NG,86.47,5.5167,5.75,BON Hotel Delta
108,Bilimora,IN,87.71,20.7672,72.9693,Hotel Amardeep Inn Guest House
112,Rocha,UY,77.81,-34.4833,-54.3333,Hotel Arrarte
128,Ilhabela,BR,76.39,-23.7781,-45.3581,Ilha Flat Hotel
133,Olinda,BR,85.73,-8.0089,-34.8553,Flat Quatro Rodas Olinda
134,Namwala,ZM,77.86,-15.7504,26.4384,Corner Point Lodge
137,Port Blair,IN,82.44,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
139,Cap Malheureux,MU,79.47,-19.9842,57.6142,Pereybere Hotel & Spa
140,Dire Dawa,ET,87.82,9.5931,41.8661,Samrat Hotel
142,Kudahuvadhoo,MV,84.18,2.6708,72.8944,Niyama Private Islands Maldives
146,Saint-Philippe,RE,78.39,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
147,Kibre Mengist,ET,83.07,5.8833,38.9833,kal beauty salone adola
149,Cayenne,GF,84.24,4.9333,-52.3333,Hôtel Le Dronmi
150,Cairns,AU,76.95,-16.9167,145.7667,Mantra Trilogy Cairns
151,Banyuwangi,ID,76.35,-8.2325,114.3576,Dannu's Homestay
153,Morondava,MG,84.34,-20.2833,44.2833,La Case Bambou
159,Dzaoudzi,YT,85.89,-12.7887,45.2699,Le Rocher
160,Geraldton,AU,75.61,-28.7667,114.6,Broadwater Mariner Resort
164,Mangrol,IN,87.33,21.1167,70.1167,Hotel The Royal Honours
167,Salalah,OM,82.49,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
171,Boa Vista,BR,87.78,2.8197,-60.6733,Aipana Plaza Hotel
173,Moreira Sales,BR,80.1,-24.0622,-53.0069,Casa Cristo Rei
174,Ambon,ID,78.94,-3.6954,128.1814,Swiss-Belhotel Ambon
188,Kongolo,CD,77.23,-5.3833,27.0,GUEST HOUSE OASIS
192,Emerald,AU,75.34,-23.5333,148.1667,The Irish Village
193,Sambava,MG,79.68,-14.2667,50.1667,Melrose
197,Maceio,BR,85.44,-9.6658,-35.7353,Hotel Ponta Verde Maceió
200,Namibe,AO,75.49,-15.1961,12.1522,Hotel Chik Chik Namibe
206,Honiara,SB,78.06,-9.4333,159.95,Heritage Park Hotel
210,Dalbandin,PK,86.49,28.8947,64.4101,Sanjrani House
212,Kanniyakumari,IN,84.16,8.0833,77.5667,Sparsa Kanyakumari
217,Antalaha,MG,78.46,-14.9003,50.2788,Hotel Vitasoa
228,Puerto Ayora,EC,80.56,-0.7393,-90.3518,Finch Bay Galapagos Hotel
229,Soure,BR,78.35,-0.7167,-48.5233,Casarão da Amazônia
233,Lasem,ID,77.05,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
237,Junnar,IN,86.65,19.2,73.8833,Hotel Anand
244,Gat,IL,82.4,31.61,34.7642,OlusHome
254,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
256,Port-Gentil,GA,81.57,-0.7193,8.7815,Fengshui Residence
258,Carnarvon,AU,77.07,-24.8667,113.6333,Hospitality Carnarvon
264,Sur,OM,85.5,22.5667,59.5289,Sur Plaza Hotel
265,Bairiki,KI,80.6,1.3292,172.9752,Tarawa Boutique Hotel
269,Sabang,ID,83.23,5.8933,95.3214,Hotel Citra
280,Padang,ID,78.01,-0.9492,100.3543,Mercure Padang
281,Pouebo,NC,78.21,-20.4,164.5667,RIVÂT LODGE
284,Aden,YE,81.28,12.7794,45.0367,Sama Emirate Hotel
291,Kandrian,PG,77.29,-6.2167,149.55,Kandrian Station
294,Nhamunda,BR,82.74,-2.1861,-56.7131,Pousada Da Praia
298,San Luis,AR,79.59,-33.295,-66.3356,Huarpes Hotel
299,Quatre Cocos,MU,79.09,-20.2078,57.7625,Sunrise Attitude Hotel
304,Iralaya,HN,83.35,15.0,-83.2333,Iglesia morava renovada
310,Hobyo,SO,84.22,5.3505,48.5268,Iftin hotel hobyo
312,Vao,NC,78.94,-22.6667,167.4833,Hotel Kou-Bugny
313,Itacoatiara,BR,83.52,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
314,Victoria,HK,75.18,22.2855,114.1577,Mini Hotel Central
319,Tinsukia,IN,76.51,27.5,95.3667,Hotel Ballerina
321,Najran,SA,86.65,17.4924,44.1277,محمد هادي ال فطيح
324,Conceicao Do Araguaia,BR,87.39,-8.2578,-49.2647,Tarumã Tropical Hotel
326,Srandakan,ID,76.95,-7.9386,110.2506,Puri Brata
332,Bandarbeyla,SO,81.07,9.4942,50.8122,JABIR HOTEL
333,Catuday,PH,78.85,16.2923,119.8062,Benjie's Kubo & Cottages
339,Inhambane,MZ,80.91,-23.865,35.3833,Oceano
340,Marsa Matruh,EG,84.4,31.3525,27.2453,Beau Site
343,Conde,BR,85.46,-7.2597,-34.9075,Pousada Beija Flor
344,Banjar,ID,76.93,-8.19,114.9675,The Hamsa Resort
345,Alacranes,CU,82.89,22.7675,-81.5675,Hotel Union de Reyes
346,Hua Hin,TH,89.01,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
347,Tura,IN,75.07,25.5198,90.2201,Hotel RIKMAN Continental
351,Omboue,GA,83.3,-1.5746,9.2618,Hotel Olako
356,Bambous Virieux,MU,79.21,-20.3428,57.7575,Casa Tia Villa
364,Souillac,MU,79.18,-20.5167,57.5167,Shanti Maurice Resort & Spa
366,Lompoc,US,76.78,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
367,Kemise,ET,78.51,10.7167,39.8667,Hussen Endris
369,Mogadishu,SO,82.81,2.0371,45.3438,Hotel Juba
371,Labuhan,ID,78.08,-6.8844,112.2051,DoubleFAG
372,Praia,CV,81.14,14.9215,-23.5087,LT Aparthotel
376,Kalmunai,LK,81.1,7.4167,81.8167,VS Villa
377,Georgetown,MY,78.75,5.4112,100.3354,Cititel Penang
378,Bethlehem,BR,84.24,-1.4558,-48.5044,Mercure Belém Boulevard
381,Nicoya,CR,85.44,10.1483,-85.452,Las Cabinas Del Sueño
383,Zhob,PK,82.69,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
386,Kupang,ID,79.0,-10.1667,123.5833,Hotel On The Rock by Prasanthi
388,Sibolga,ID,75.52,1.7427,98.7792,Hotel Syariah CN Darussalam
391,Itarema,BR,84.18,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
392,Esmeralda,CU,87.19,21.8525,-78.1169,Centro de Pioneros Exploradores
397,Bull Savanna,JM,82.31,17.8868,-77.5902,Big Red's
398,Faanui,PF,81.93,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
399,Puerto El Triunfo,SV,83.32,13.2833,-88.55,Hotel Jardin
401,Fare,PF,82.4,-16.7,-151.0167,Maitai Lapita Village Huahine
402,Parrita,CR,85.57,9.5201,-84.3225,Beso del Viento
413,Eirunepe,BR,86.76,-6.6603,-69.8736,Atrás de você
417,Vila Velha,BR,84.15,-20.3297,-40.2925,Hotel Vitória Palace
418,Cockburn Town,TC,78.76,21.4612,-71.1419,Osprey Beach Hotel
420,Moron,AR,77.81,-34.6534,-58.6198,Hotel Morón
422,Tevaitoa,PF,82.09,-16.7833,-151.5,Hôtel Raiatea Lodge
426,Ovalle,CL,79.41,-30.5983,-71.2003,Hotel Altos de Tuqui
427,Kilinochchi,LK,82.11,9.3961,80.3982,Solaivanam Guest House
428,Touros,BR,87.13,-5.1989,-35.4608,INN NEW HORIZON
430,Mount Isa,AU,76.77,-20.7333,139.5,ibis Styles Mt Isa Verona
431,Pointe-Noire,CG,82.58,-4.7761,11.8635,Kactus Lodge
438,Ambilobe,MG,77.05,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
444,Acarau,BR,84.25,-2.8856,-40.12,castelo pizzaria
450,Port Maria,JM,88.05,18.3685,-76.8895,Galina Breeze Hotel
451,Ternate,ID,81.34,0.8,127.4,Sahid Bela Ternate Hotel
457,Girne,CY,76.55,35.3417,33.3167,Lavanta Residence
462,Saint-Leu,RE,77.86,-21.15,55.2833,La Caz Oceane
465,Acari,PE,78.44,-15.4311,-74.6158,HOSPEDAJE XIMENA
467,Ipixuna,BR,84.9,-1.7625,-48.8043,Chalé do Mato
469,Vinukonda,IN,82.96,16.05,79.75,VLS Residency
470,Bubaque,GW,77.32,11.2833,-15.8333,"Casa Dora, Bubaque"
472,San Felipe,VE,87.13,10.3399,-68.7425,Posada Llovizna Rodríguez
473,Tarauaca,BR,80.8,-8.1614,-70.7656,Flat Temporada
479,Chipoka,MW,78.89,-13.9933,34.5157,The Cichlids Lodge
480,Odweyne,SO,84.51,9.4092,45.064,Eng Hiirey House
484,Manjacaze,MZ,77.67,-24.7117,33.8828,Hotel Gani
490,Isangel,VU,79.36,-19.55,169.2667,Tanna Lodge
493,Hit,IQ,85.17,33.6416,42.8251,بيت ابو رباح
494,Tangkak,MY,78.67,2.2673,102.5453,Lakeside Village Homestay 水乡民宿
495,Isabela,PH,78.53,6.7085,121.9711,Isawad Resort
496,Pilar,BR,84.13,-9.5972,-35.9567,Pousada e churrascaria Manguaba
500,Chokwe,MZ,80.17,-24.5333,32.9833,Complexo Sonho Real
501,Codajas,BR,88.34,-3.8367,-62.0569,Atlântic Hotel
507,Weligama,LK,79.34,5.9667,80.4167,Weligama Bay Resort
508,Seydi,TM,78.8,39.4816,62.9137,Seydi oteli
514,Nabire,ID,76.64,-3.3667,135.4833,Hotel Nusantara I
516,Singapore,SG,80.55,1.2897,103.8501,The Fullerton Hotel Singapore
517,Saint-Pierre,RE,78.48,-21.3393,55.4781,Lindsey Hôtel
520,Mindelo,CV,76.55,16.8901,-24.9804,Hotel Gaudi
526,Villa Carlos Paz,AR,78.06,-31.4241,-64.4978,Monte Carlo vcp
529,Gunjur,GM,79.14,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
530,Mitsamiouli,KM,83.14,-11.3847,43.2844,Foyer ADM
532,Tecoanapa,MX,80.46,16.5167,-98.75,Hotel Manglares
539,Talara,PE,75.96,-4.5772,-81.2719,Hostal Oro Negro
556,Vanimo,PG,78.26,-2.6741,141.3028,Vahmoneh Lodge Vanimo
561,Meulaboh,ID,76.51,4.1363,96.1285,Kost Pria
562,Hambantota,LK,77.34,6.1241,81.1185,Bungalow 63
563,La Asuncion,VE,82.13,11.0333,-63.8628,Colinas de Matasiete
564,Altagracia De Orituco,VE,89.8,9.8601,-66.3814,Posada Quinta Mi Refugio
565,Puerto Escondido,MX,77.83,15.85,-97.0667,Aldea del Bazar Hotel and Spa
570,Nouadhibou,MR,84.18,20.931,-17.0347,El Medina
571,Mocuba,MZ,79.02,-16.8392,36.9856,Phama Lodge
572,Sibiti,CG,81.61,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
576,Yarqa,JO,78.31,31.9785,35.6947,Heaven of izzar
584,Coahuayana,MX,77.97,18.7333,-103.6833,El rranchito michuacan de ocampos
585,Progreso,MX,80.71,21.2833,-89.6667,Playa Linda Hotel
596,Zabid,YE,86.92,14.1951,43.3152,مغرب التريبه
597,Sokoni,TZ,89.46,-6.4333,39.55,Ujamaa Beach Resort
598,Port Moresby,PG,76.53,-9.4431,147.1797,Lamana Hotel (Port Moresby)
600,Miramar,US,87.03,25.9873,-80.2323,Stadium Hotel
601,Bahadurganj,IN,86.09,26.2667,87.8167,Usmania Cottage
602,Mayumba,GA,80.96,-3.432,10.6554,LIKWALE LODGE
608,Khamanon,IN,85.33,30.8186,76.3508,Khamanon Bus Stand
616,Mizan Teferi,ET,75.58,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
622,Namatanai,PG,78.15,-3.6667,152.4333,Seagulls Inn Namatani
624,Bathsheba,BB,86.61,13.2167,-59.5167,Atlantis Hotel
627,Lethem,GY,89.85,3.3803,-59.7968,Savannah Inn
629,Biak,ID,75.92,-0.9131,122.8766,Penginapan Kim
634,Iracoubo,GF,79.41,5.4802,-53.2011,Le Gîte d’Iracoubo
639,Salvador,SV,81.05,13.8333,-88.9167,Chico's Ranch
